claim_id,date_claimed,actor,country,actor_category,claim_verbatim,topic_tag,platform,post_url,archived_url,verdict,verdict_source,source_url,source_date,views,reposts,likes,platform_corrected,claim_status,electoral_political_impact,notes
UK::C0011,2015-01-05,Paul Golding / Britain First (amplifier),United Kingdom,Amplifier / network,[Harassed sister-in-law of a man allegedly linked to 7/7 bombings; turned up at wrong address],anti-muslim,other (in-person / filmed),,,Guilty — harassment; fined £325 plus £100 for wearing political uniform,Chelmsford Magistrates' Court ruling; Tell MAMA,https://tellmamauk.org/ex-leader-of-britain-first-paul-golding-jailed-for-breach-of-high-court-injunction/,2016-12-15,,,,N/A — court proceeding,fact-checked,,District Judge David Woollard found Golding guilty of harassing sister-in-law of 7/7-linked man (mistaken address). Fined £325 + £100 for political uniform. Court proceeding documented.
UK::C0012,2015-01-08,Farage,United Kingdom,Primary,"There is a very strong argument that the events [Charlie Hebdo Paris attack] are a result of having a fifth column living within these countries. We've got people living in these countries, holding our passports, who hate us.",immigration/race,TV (Channel 4 News),,https://web.archive.org/web/20150108000000*/https://www.bbc.com/news/uk-politics-30726491,,BBC News,https://www.bbc.com/news/uk-politics-30726491,2015-01-08,,,,,documented-no-formal-check,,Channel 4 News interview 8 January 2015 following Charlie Hebdo attack. Home Secretary Theresa May called the 'fifth column' reference 'irresponsible'. Deputy PM Nick Clegg called it 'firmly grabbing the wrong end of the stick'. YouTube clip: https://www.youtube.com/watch?v=5hIEyg_QKvc
UK::C0013,2015-04-02,Farage,United Kingdom,Primary,"Here's a fact — there are 7,000 diagnoses in this country every year of people that are HIV positive … 60% of them are not British nationals. What we need to do is to put the NHS there for British people and families, who in many cases have paid into the system for decades.",immigration/nhs,TV (ITV leaders debate),,https://web.archive.org/web/20150406000000*/https://fullfact.org/health/hiv-are-60-those-diagnosed-not-british-nationals/,Misleading,Full Fact,https://fullfact.org/health/hiv-are-60-those-diagnosed-not-british-nationals/,2015-04-06,,,,,fact-checked,,"ITV leaders debate 2 April 2015. Full Fact: annual new HIV diagnoses were ~6,000 not 7,000; data records country of birth not nationality; 54% (not 60%) of those with reported birthplace born outside UK, with 17% unreported. Most tweeted moment of the debate. BBC reported Farage defended comments: https://www.bbc.com/news/election-2015-32176826. Plaid Cymru leader Leanne Wood: 'scaremongering'."
UK::C0014,2015-04-17,Katie Hopkins (amplifier),United Kingdom,Amplifier / network,"Make no mistake, these migrants are like cockroaches. They might look a bit 'Bob Geldof's Ethiopia circa 1984', but they are built to survive a nuclear bomb. They are survivors. Once gunships have driven them back to their shores, boats need to be confiscated and burned on a huge bonfire.",anti-muslim/immigration,other (The Sun print/online),,https://web.archive.org/web/20150421000000*/https://www.thesun.co.uk/,Hate speech — language similar to pro-genocide propaganda,UN High Commissioner for Human Rights Zeid Ra'ad Al Hussein; IPSO received 100+ complaints; 200k+ petition to sack,https://www.the-independent.com/news/uk/politics/katie-hopkins-migrant-cockroaches-column-resembles-progenocide-propaganda-says-the-un-10201959.html,2015-04-24,,,,No — Sun published without correction; Hopkins questioned by police; no charge brought,fact-checked,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.",Headline: 'Rescue boats? I'd use gunships to stop migrants'. UN compared language to pre-genocide Rwandan propaganda. Metropolitan Police investigated; no charges filed. Sun removed article later. IPSO ruling upheld complaint. Police questioned Hopkins but gave all-clear 6 months later. Source also: https://www.bbc.com/news/newsbeat-32391620
UK::C0015,2015-04-17,Katie Hopkins (amplifier),United Kingdom,Amplifier / network,"Show me pictures of coffins, show me bodies floating in water, play violins and show me skinny people looking sad. I still don't care.",immigration,other (The Sun print/online),,https://web.archive.org/web/20150421000000*/https://www.thesun.co.uk/,,,,2015-04-17,,,,No,fact-checked,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.",Same Sun column as above. Cited alongside cockroaches quote in UN condemnation. Source: https://www.bbc.com/news/newsbeat-32391620
UK::C0016,2015-09-09,Farage,United Kingdom,Primary,Isis are now using this [refugee] route to put their jihadists on European soil. The majority that are coming are economic migrants. We must be mad to take this risk.,immigration/security,speech (European Parliament),,https://web.archive.org/web/20150909000000*/https://www.bbc.com/news/uk-politics-34197707,,BBC News,https://www.bbc.com/news/uk-politics-34197707,2015-09-09,,,,,documented-no-formal-check,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.",European Parliament speech 9 September 2015 during Mediterranean migrant crisis. Claim about ISIS systematically using refugee route was later directly rebutted by Europol director Rob Wainwright (see 2016-06-07 row). BBC reported.
UK::C0017,2015-11-01,Farage,United Kingdom,Primary,There is a 'fifth column' of Islamic extremists in the United Kingdom. British Muslims have split loyalties between their country and their faith.,immigration/race,TV (Channel 4 documentary),,,,Wikipedia (political positions of Nigel Farage); Middle East Eye,https://www.middleeasteye.net/news/nigel-farage-jews-muslims-palestinians-and-israel-his-most-controversial-quotes,2024-06-04,,,,,documented-no-formal-check,,"Channel 4 documentary, approximately late 2015. Wikipedia political positions article documents claim about 'split loyalties'. Date is approximate. Part of a documented pattern of 'fifth column' rhetoric around Paris attacks and refugee crisis (see Jan 2015 and Mar 2017 rows)."
UK::C0018,2016-01-01,Yaxley-Lennon,United Kingdom,Primary,I'd personally send every adult Muslim that has come into the EU over the past 12 months back tomorrow if I could. Fake refugees.,anti-muslim/immigration,Twitter,,,Documented by MEND and multiple secondary sources; reflects dehumanising characterisation of Muslim migrants as fraudulent,MEND / Business Insider,https://www.mend.org.uk/tommy-robinson-permanently-removed-twitter/,2018-03-29,,,,Yes — Twitter later permanently banned account citing hateful conduct,documented-no-formal-check,,Tweet confirmed by MEND article (2018-03-29) citing January 2016 date; also cited in CBC (2018-09-30) at https://www.cbc.ca/news/world/tommy-robinson-views-islam-1.4839120. Original tweet URL unavailable — account banned March 2018.
UK::C0019,2016-02-06,Yaxley-Lennon,United Kingdom,Primary,[Led Pegida UK relaunch rally in Birmingham describing Islam as an existential threat to the West and presenting Muslim immigration as invasion],anti-muslim/immigration,EDL-era/rally,,https://web.archive.org/web/20160210000000*/https://www.theguardian.com/world/2016/feb/06/pegida-uk-birmingham-rally-far-right,Documented by multiple reputable press outlets; rally characterised by anti-Muslim content; fewer than 200 attendees,BBC / Muslim News / Hope Not Hate,https://muslimnews.co.uk/news/uk/uk-anti-islam-group-pegida-holds-rally-in-birmingham/,2016-02-06,,,,No,documented-no-formal-check,,Pegida UK relaunch confirmed. Robinson described Islam as the enemy of the West. BBC Radio report 'Tommy Robinson's Pegida Ambition' (BBC audio b06yfm8b). Hope Not Hate case file confirms 2015 Pegida UK launch: https://hopenothate.org.uk/case-files-stephen-lennon/
UK::C0020,2016-06-07,Farage,United Kingdom,Primary,"The EU's migration policy has led to 5,000 jihadis entering the EU in the past 15 months.",immigration/security/eu,TV (BBC Question Time and other appearances),,https://web.archive.org/web/20160609000000*/https://www.independent.co.uk/news/uk/politics/europol-chief-tells-nigel-farage-to-stop-misquoting-him-with-false-and-alarmist-claim-of-5-000-isis-jihadists-in-europe-a7071506.html,False — misrepresentation of Europol data,The Independent (reporting Europol Director Rob Wainwright),https://www.independent.co.uk/news/uk/politics/europol-chief-tells-nigel-farage-to-stop-misquoting-him-with-false-and-alarmist-claim-of-5-000-isis-jihadists-in-europe-a7071506.html,2016-06-09,,,,,fact-checked,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.","Europol director Rob Wainwright publicly rebutted: 'There is no basis in fact for this point and it is a very serious, even alarmist, conflation of migration and terrorism.' The 5,000 figure referred to European nationals who had travelled to Syria/Iraq — not migrants entering Europe. Wainwright said he had previously corrected Farage at a public event the month before. UKIP spokesman acknowledged 'misinterpretation'. The Independent 9 June 2016."
UK::C0021,2016-06-09,Farage,United Kingdom,Primary,"508 million people — if they wish, can come to this country. We have no control. The only way we get control is to vote to leave the European Union.",immigration/eu,TV (BBC Question Time),,https://web.archive.org/web/20160610000000*/https://fullfact.org/europe/9-junes-bbc-question-time-factchecked/,Misleading,Full Fact,https://fullfact.org/europe/9-junes-bbc-question-time-factchecked/,2016-06-10,,,,,fact-checked,,"BBC Question Time 9 June 2016. Full Fact: EU free movement applies only to EEA citizens (~440m outside UK), and only 3% of EU citizens lived in another member state in 2015. Framing implied virtually all 508m could and might come. Same broadcast: Farage claimed 'one new house every four minutes' for immigration — Full Fact rated plausible but uncertain."
UK::C0022,2016-06-16,Farage,United Kingdom,Primary,"BREAKING POINT: The EU has failed us all. [Poster depicting a long queue of non-white Syrian/Afghan refugees walking near the Croatia-Slovenia border, with no connection to UK immigration]",immigration/race,rally/outdoor advertising (campaign van billboard),,https://web.archive.org/web/20160616000000*/https://www.theguardian.com/politics/2016/jun/16/nigel-farage-defends-ukip-breaking-point-poster-queue-of-migrants,Widely condemned as racist; reported to police; compared to 1930s propaganda,Guardian; BBC; The Independent; Sky News; George Osborne; Nicola Sturgeon,https://www.theguardian.com/politics/2016/jun/16/nigel-farage-defends-ukip-breaking-point-poster-queue-of-migrants,2016-06-16,,,,,documented-no-formal-check,,"Unveiled 16 June 2016, same day Labour MP Jo Cox was murdered by a far-right attacker. Photograph taken in October 2015 near Croatia-Slovenia border — no connection to UK immigration. Unison general secretary Dave Prentis reported to Metropolitan Police for inciting racial hatred. Chancellor Osborne called it 'vile' with 'echoes of [1930s] literature'. Scotland FM Nicola Sturgeon called it 'vile and racist'. 40,000-signature petition handed to police July 2016 (Sky News: https://news.sky.com/story/farage-reported-to-police-over-eu-campaign-10508329). Farage apologised only for 'the timing'. In 2019 BBC interview defended poster as having 'transformed politics'. LEGAL REVIEW NEEDED — reported to police, crime reference number assigned."
UK::C0023,2016-06-24,Farage,United Kingdom,Primary,"We will have done it without having to fight, without a single bullet being fired.",elections/eu,speech/rally (central London Brexit victory rally),,https://web.archive.org/web/20160624000000*/https://www.independent.co.uk/news/people/eu-referendum-nigel-farage-branded-shameful-for-claiming-victory-without-a-single-bullet-being-fired-a7099211.html,,The Independent,https://www.independent.co.uk/news/people/eu-referendum-nigel-farage-branded-shameful-for-claiming-victory-without-a-single-bullet-being-fired-a7099211.html,2016-06-24,,,,,documented-no-formal-check,,"Brexit victory speech early hours of 24 June 2016, hours after Labour MP Jo Cox was shot and stabbed to death. Farage branded 'unbelievably insensitive and crass' (The Independent). He later apologised for the 'timing'. Not a factual claim subject to fact-check — logged as documented statement with major political impact."
UK::C0024,2016-08-20,Paul Golding / Britain First (amplifier),United Kingdom,Amplifier / network,[Led Britain First activists into Al-Manar Islamic Centre Cardiff; uploaded video to YouTube making allegations of extremism against mosque],anti-muslim,other (YouTube/Facebook),,,Guilty of deliberate and cynical defiance of court order; sentenced to 8 weeks prison,High Court; Tell MAMA; Reconciliation Talk (citing judge's remarks),https://tellmamauk.org/ex-leader-of-britain-first-paul-golding-jailed-for-breach-of-high-court-injunction/,2016-12-15,,,,Yes — video uploaded to YouTube; subsequently removed in March 2018 platform purge,fact-checked,,Golding drove 4 activists to mosque in breach of court injunction banning mosque entry without invitation. Judge said conduct was 'deliberate and cynical defiance' and 'an affront to the Muslim community'. Mosque trustee denied extremism allegations. LEGAL: Court finding. Source: http://www.reconciliationtalk.org/blog/2016/12/15/paul-golding-of-britain-first-jailed-for-deliberate-and-cynical-defiance-of-court-order-banning-him-from-mosques
UK::C0025,2017-01-01,Yaxley-Lennon,United Kingdom,Primary,Muslims are statistically on course to outnumber 'Europeans' this century [claim circulated via social media and interviews c.2017],anti-muslim/immigration,Twitter/other,,,Documented by BBC as a far-right myth Robinson perpetuated; demographic projections do not support this claim,BBC,https://www.bbc.com/news/uk-48942411,2019-07-11,,,,No,documented-no-formal-check,,"BBC profile article (July 2019) explicitly states Robinson 'perpetuated and spread far-right myths, such as a claim that Muslims are statistically on course to outnumber Europeans this century.' Approximate date 2017 based on article context."
UK::C0026,2017-03-22,Farage,United Kingdom,Primary,"I'm sorry to say that we have now a fifth column living inside these European countries … frankly, if you open your door to uncontrolled immigration from Middle Eastern countries, you are inviting in terrorism.",immigration/race,TV (Fox News / Sean Hannity show),,https://web.archive.org/web/20170323000000*/https://www.independent.co.uk/news/uk/home-news/nigel-farage-london-terror-attack-multiculturalism-blame-immigration-lbc-radio-ukip-mep-leader-a7645586.html,,The Independent; BBC News,https://www.independent.co.uk/news/uk/home-news/nigel-farage-london-terror-attack-multiculturalism-blame-immigration-lbc-radio-ukip-mep-leader-a7645586.html,2017-03-23,,,,,documented-no-formal-check,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.","Fox News / Hannity 22 March 2017, day of Westminster Bridge attack. Farage blamed Tony Blair's multiculturalism and said Blair had sent 'search parties' for immigrants. Parallel 'fifth column' comments on LBC. The Independent and BBC reported. Pattern of making immigration-linked claims immediately after attacks."
UK::C0027,2017-03-22,Yaxley-Lennon,United Kingdom,Primary,[Video shot at scene of Westminster terror attack — promoted anti-Muslim narrative following attack],anti-muslim hate,Facebook / YouTube,,,Robinson filmed himself at the scene of the Westminster attack; video watched over 3 million times in 72 hours; Hope Not Hate characterises him as using terror attacks to build anti-Muslim audience,Hope Not Hate,https://hopenothate.org.uk/wp-content/uploads/2018/03/State-of-Hate-2018.pdf,2018-03-01,3000000,,,No,documented-no-formal-check,,"State of Hate 2018. Robinson added 40,042 Twitter followers in the week after the Manchester Arena attack (May 2017). After each 2017 terror attack he sharply increased his following, more than doubling his Twitter count from January to year-end."
UK::C0028,2017-05-00,Paul Golding / Britain First (amplifier),United Kingdom,Amplifier / network,"[Distributed leaflets targeting Muslim men falsely believed to be defendants in Kent rape trial; confronted addresses; shouted 'dirty Muslim rapist, come out, we're not going to leave until you're gone']""",anti-muslim,other (in-person filmed / Facebook),,,Guilty — religiously aggravated harassment (1 count); sentenced to 18 weeks prison,Folkestone Magistrates' Court March 2018; The Independent; Tell MAMA,https://www.the-independent.com/news/uk/home-news/facebook-britain-first-pages-delete-jayda-fransen-paul-golding-jailed-race-hate-a8255521.html,2018-03-14,,,,Yes — Facebook removed all Britain First pages 14 March 2018 days after conviction,fact-checked,,Trial at Folkestone Magistrates' Court 7 March 2018. Judge Justin Barron said actions 'demonstrated hostility towards Muslims and Islam' and used facts of case 'for their own political ends'. Fransen received 36 weeks. Court found actions could have caused rape defendants to walk free. LEGAL: Court finding. Source also: https://fra.europa.eu/en/databases/criminal-detention/node/6912
UK::C0029,2017-05-10,Yaxley-Lennon,United Kingdom,Primary,"[Filmed inside Canterbury Crown Court during rape trial; published footage under title 'Tommy Robinson in Canterbury exposing Muslim child rapists, Police help them escape'; called defendants 'Muslim child rapists' while jury was deliberating]",anti-muslim/crime,other (Facebook/YouTube),,,False — Judge Heather Norton found Robinson used 'pejorative language which prejudged the outcome of the case'; convicted of contempt of court; three-month suspended sentence,Canterbury Crown Court (HHJ Norton) / BBC,https://www.judiciary.uk/wp-content/uploads/2017/05/coc-yaxley-lennon-20170522.pdf,2017-05-22,,,,No,fact-checked,,LEGAL REVIEW NEEDED — prior contempt finding (concluded). Court transcript confirms exact language: 'Muslim child rapists' and 'Muslim paedophiles'. Suspended sentence activated in 2018. BBC: https://www.bbc.com/news/uk-england-leeds-44287640
UK::C0030,2017-05-22,Yaxley-Lennon,United Kingdom,Primary,in a four week period his tweets reached 193 million people and his Facebook videos were viewed 49 million times [documented reach — not a single claim but Hope Not Hate's quantification of his broadcast reach in the period following the 2017 terror attacks],extremism/reach,Facebook / Twitter,,,Hope Not Hate characterises Robinson as the UK's most prominent anti-Muslim activist; his content was watched 49 million times on Facebook over one four-week period,Hope Not Hate,https://hopenothate.org.uk/wp-content/uploads/2018/03/State-of-Hate-2018.pdf,2018-03-01,49000000,,,No,documented-no-formal-check,,"State of Hate 2018. Facebook videos 49m views in four weeks; tweets reached 193m people in same period. Robinson: 686,267 Facebook likes; 394,000 Twitter followers; 61,884 YouTube subscribers at time of report."
UK::C0031,2017-05-23,Katie Hopkins (amplifier),United Kingdom,Amplifier / network,22 dead - number rising. Schofield. Don't you even dare. Do not be part of the problem. We need a final solution. #Manchester,anti-muslim/conspiracy,X/Twitter,,https://web.archive.org/web/20210308053422/https://www.huffingtonpost.co.uk/entry/manchester-bombing-katie-hopkins-reported-to-police-for-calling-for-final-solution-following-attack_uk_5923ffaee4b094cdba573404,Condemned as echoing Nazi terminology; led to immediate LBC sacking,The Week; Washington Post; Change.org petition; Metropolitan Police received complaints,https://theweek.com/85034/katie-hopkins-to-leave-lbc-over-final-solution-tweet,2017-05-26,,,,Yes — deleted and replaced with 'true solution'; LBC terminated Hopkins immediately,fact-checked,,"Tweet sent at 7:24am 23 May 2017, day after Manchester Arena bombing killing 22. Hopkins deleted and replaced with 'true solution'. LBC terminated her contract 'effective immediately'. Met Police confirmed receipt of complaints but did not confirm investigation outcome. Source also: https://www.washingtonpost.com/news/morning-mix/wp/2017/05/24/we-need-a-final-solution-british-columnist-tweets-then-deletes-after-manchester-bombing/"
UK::C0032,2017-05-23,Katie Hopkins (amplifier),United Kingdom,Amplifier / network,We need a final solution [tweet posted the morning after the Manchester Arena bombing calling for a 'final solution' — Nazi terminology],anti-muslim hate / incitement,Twitter,,,Metropolitan Police received complaints; Hope Not Hate and IRR characterise as use of Nazi genocidal terminology in anti-Muslim context; led to her dismissal from LBC,Hope Not Hate / Institute of Race Relations,https://hopenothate.org.uk/wp-content/uploads/2018/03/State-of-Hate-2018.pdf,2018-03-01,,,,No,documented-no-formal-check,,"LEGAL REVIEW NEEDED. Hopkins deleted the original tweet and replaced it with 'true solution'. Metropolitan Police confirmed it received complaints (The Week, 26 May 2017: https://theweek.com/85034/katie-hopkins-to-leave-lbc-over-final-solution-tweet). State of Hate 2018 records this as a key incident in Hopkins's trajectory. IRR calendar entry: https://irr.org.uk/calendar_entry/katie-hopkins-reported-to-police-after-final-solution-manchester-attack-tweet/"
UK::C0033,2017-06-19,Yaxley-Lennon,United Kingdom,Primary,The mosque where the attack happened tonight has a long history of creating terrorists & radical jihadists & promoting hate & segregation [tweeted after Finsbury Park mosque attack],anti-muslim/conspiracy,Twitter,,https://web.archive.org/web/20170620000000*/https://twitter.com/TRobinsonNewEra,False — Robinson misidentified the mosque attacked; the Muslim Welfare House (attacked) was not the Finsbury Park Mosque. Met Police confirmed misidentification.,MEND / Yahoo News,https://uk.news.yahoo.com/finsbury-park-attack-former-edl-leader-tommy-robinson-sparks-outrage-inflammatory-tweets-102911203.html,2017-06-19,,,,No — condemned but not corrected on platform (pre-ban),fact-checked,,"MEND confirms Robinson misidentified the mosque: https://www.mend.org.uk/tommy-robinson-permanently-removed-twitter/. Wikipedia cites Darren Osborne trial: Commander Dean Haydon stated Robinson's online material played 'significant role' in radicalising the attacker. Also tweeted: 'I'm not surprised at all that an attack like this has happened, I'm just surprised it's taken this long.'"
UK::C0034,2017-06-19,Yaxley-Lennon,United Kingdom,Primary,"I'm not surprised at all that an attack like this has happened, I'm just surprised it's taken this long. [tweeted same night as Finsbury Park mosque attack — one man killed, nine injured]",anti-muslim/other,Twitter,,https://web.archive.org/web/20170620000000*/https://twitter.com/TRobinsonNewEra,,Yahoo News / MEND,https://uk.news.yahoo.com/finsbury-park-attack-former-edl-leader-tommy-robinson-sparks-outrage-inflammatory-tweets-102911203.html,2017-06-19,,,,No,documented-no-formal-check,,"Characterised by reputable press as normalising anti-Muslim violence. Robinson's email list had sent Darren Osborne a message linking Muslims to crimes (Wikipedia, citing Lizzie Dearden, Independent, 23 Jan 2018)."
UK::C0035,2017-06-20,Yaxley-Lennon,United Kingdom,Primary,[Appeared on Good Morning Britain holding the Quran and described it as a 'violent and cursed book'],anti-muslim/other,other (TV — ITV Good Morning Britain),,,,Wikipedia (citing GMB broadcast) / BBC,https://en.wikipedia.org/wiki/Tommy_Robinson,2017-06-20,,,,No,documented-no-formal-check,,"Documented following Finsbury Park attack. Characterised by ISD, Hope Not Hate and Tell MAMA as anti-Muslim hate speech. No formal fact-checker verdict on theological claim."
UK::C0036,2017-09-01,Farage,United Kingdom,Primary,"[Used GB News programme to make alarmist claims about 'waves of Afghan refugees' and 'thousands of others making bogus claims to be Afghans, all descending on the UK']",immigration,TV (GB News),,,Hope Not Hate characterises as part of Farage mainstreaming anti-migrant narratives; the claims were unsubstantiated; reflects Farage's strategic move to use mainstream broadcast platform for far-right adjacent rhetoric,Hope Not Hate,https://hopenothate.org.uk/wp-content/uploads/2022/03/state-of-hate-2022-v1_17-March-update.pdf,2022-03-01,,,,,documented-no-formal-check,"Immigration salience is the strongest documented correlate of Reform support (68% of 2024 Reform voters; 74% of 'immigration-top-issue' voters backed Reform — YouGov; BBC 2025 locals). Correlation, not proven single-claim causation.","State of Hate 2022. Farage also criticised RNLI for helping vessels in distress in the Channel, prompting national news story and increased RNLI donations following HNH campaign. He sailed his own boat into the Channel to film migrant vessels. 49% of 2019 Brexit Party voters believed elites were involved in large-scale child trafficking (HNH/YouGov)."
